,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,waterfront_N,waterfront_Y,not_renovated,is_renovated,floors_1,floors_2,floors_3,floors_3_half,not_viewed,viewed,day_of_year,no_basement,has_basement,total_home_sqft,city,grd_1_to_5,grd_6_to_7,grd_8_to_9,grd_10_to_11,grd_12_to_13,jan_mar,apr_jun,jul_sep,oct_dec,cond_poor,cond_fair,cond_average,cond_good,cond_very_good
0,7129300520,221900.0,3,1.0,1180,5650,1180,55,66,47.5112,-122.257,1340,5650,1,0,1,0,1,0,0,0,1,0,279,1,0,1180.0,Seattle,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,4060000240,205425.0,2,1.0,880,6780,880,45,66,47.5009,-122.24799999999999,1190,6780,1,0,1,0,1,0,0,0,1,0,167,1,0,880.0,Seattle,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2,4058801670,445000.0,3,2.25,2100,8201,1620,67,66,47.5091,-122.244,2660,8712,1,0,1,0,1,0,0,0,0,1,191,0,1,2580.0,Seattle,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3,2976800796,236000.0,3,1.0,1300,5898,1300,61,66,47.5053,-122.255,1320,7619,1,0,0,1,1,0,0,0,1,0,261,1,0,1300.0,Seattle,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4,6874200960,170000.0,2,1.0,860,5265,860,31,66,47.5048,-122.272,1650,8775,1,0,1,0,1,0,0,0,1,0,51,1,0,860.0,Seattle,0,1,0,0,0,1,0,0,0,0,0,1,0,0
5,4268200055,245000.0,3,1.75,1740,11547,1740,54,66,47.4945,-122.22,880,78408,1,0,1,0,1,0,0,0,1,0,114,1,0,1740.0,Seattle,0,1,0,0,0,0,1,0,0,0,0,1,0,0
7,3969300030,239900.0,4,1.0,1000,7134,1000,43,66,47.4897,-122.24,1020,7138,1,0,0,1,1,0,0,0,1,0,353,1,0,1000.0,Seattle,0,1,0,0,0,0,0,0,1,0,0,1,0,0
8,1678400105,339000.0,4,1.5,2390,7480,2390,20,66,47.504,-122.227,2850,6867,1,0,1,0,0,1,0,0,0,1,36,1,0,2390.0,Seattle,0,1,0,0,0,1,0,0,0,0,0,1,0,0
9,2172000075,290900.0,2,2.0,1610,17600,1610,30,66,47.4855,-122.266,1310,12950,1,0,0,1,0,1,0,0,1,0,167,1,0,1610.0,Seattle,0,1,0,0,0,0,1,0,0,0,0,1,0,0
10,1180003090,190000.0,2,1.0,630,6000,630,43,66,47.4973,-122.221,1470,6840,1,0,0,1,1,0,0,0,1,0,242,1,0,630.0,Seattle,0,1,0,0,0,0,0,1,0,0,0,1,0,0
